행정구역,2022년04월_계_총인구수,2022년04월_계_연령구간인구수,2022년04월_계_0세,2022년04월_계_1세,2022년04월_계_2세,2022년04월_계_3세,2022년04월_계_4세,2022년04월_계_5세,2022년04월_계_6세,2022년04월_계_7세,2022년04월_계_8세,2022년04월_계_9세,2022년04월_계_10세,2022년04월_계_11세,2022년04월_계_12세,2022년04월_계_13세,2022년04월_계_14세,2022년04월_계_15세,2022년04월_계_16세,2022년04월_계_17세,2022년04월_계_18세,2022년04월_계_19세,2022년04월_계_20세,2022년04월_계_21세,2022년04월_계_22세,2022년04월_계_23세,2022년04월_계_24세,2022년04월_계_25세,2022년04월_계_26세,2022년04월_계_27세,2022년04월_계_28세,2022년04월_계_29세,2022년04월_계_30세,2022년04월_계_31세,2022년04월_계_32세,2022년04월_계_33세,2022년04월_계_34세,2022년04월_계_35세,2022년04월_계_36세,2022년04월_계_37세,2022년04월_계_38세,2022년04월_계_39세,2022년04월_계_40세,2022년04월_계_41세,2022년04월_계_42세,2022년04월_계_43세,2022년04월_계_44세,2022년04월_계_45세,2022년04월_계_46세,2022년04월_계_47세,2022년04월_계_48세,2022년04월_계_49세,2022년04월_계_50세,2022년04월_계_51세,2022년04월_계_52세,2022년04월_계_53세,2022년04월_계_54세,2022년04월_계_55세,2022년04월_계_56세,2022년04월_계_57세,2022년04월_계_58세,2022년04월_계_59세,2022년04월_계_60세,2022년04월_계_61세,2022년04월_계_62세,2022년04월_계_63세,2022년04월_계_64세,2022년04월_계_65세,2022년04월_계_66세,2022년04월_계_67세,2022년04월_계_68세,2022년04월_계_69세,2022년04월_계_70세,2022년04월_계_71세,2022년04월_계_72세,2022년04월_계_73세,2022년04월_계_74세,2022년04월_계_75세,2022년04월_계_76세,2022년04월_계_77세,2022년04월_계_78세,2022년04월_계_79세,2022년04월_계_80세,2022년04월_계_81세,2022년04월_계_82세,2022년04월_계_83세,2022년04월_계_84세,2022년04월_계_85세,2022년04월_계_86세,2022년04월_계_87세,2022년04월_계_88세,2022년04월_계_89세,2022년04월_계_90세,2022년04월_계_91세,2022년04월_계_92세,2022년04월_계_93세,2022년04월_계_94세,2022년04월_계_95세,2022년04월_계_96세,2022년04월_계_97세,2022년04월_계_98세,2022년04월_계_99세,2022년04월_계_100세 이상
경기도 남양주시,734642,734642,3602,4300,4776,5366,5971,6646,7569,7589,7659,8429,8416,8367,7847,8069,8421,7835,7095,7355,7656,7486,7925,8832,8632,8460,8812,8605,8749,8520,8338,8680,8449,7812,7598,7801,7896,8214,9037,9279,10807,12236,13479,13834,13943,12422,12590,12225,12812,13259,14047,13921,14282,14045,13206,13459,11942,11393,11839,11370,10304,11610,10765,11820,10879,9881,9641,8846,8253,8721,6646,6958,5628,5026,5283,5253,5282,4976,3677,3840,3657,4091,3816,3045,2877,2528,2073,1922,1628,1441,1043,907,755,524,499,391,281,184,134,80,77,79,117
와부읍,59343,59343,184,195,234,273,309,352,415,441,475,543,601,689,651,711,791,735,634,737,745,695,713,781,821,793,758,721,760,701,665,650,585,552,478,520,510,470,509,529,627,714,803,844,926,904,958,1004,1083,1163,1227,1238,1206,1288,1221,1171,1059,1025,1043,1041,954,966,890,951,971,782,811,772,719,768,616,621,522,466,533,507,531,510,356,378,391,456,364,293,297,262,206,193,155,141,91,94,64,58,57,35,28,16,11,5,10,8,13
 진접읍,96163,96163,364,494,566,618,727,810,913,939,1048,1160,1198,1158,1192,1251,1208,1209,1120,1077,1109,1082,1092,1215,1161,1131,1127,1035,1096,1067,1018,1037,964,864,904,912,915,964,1063,1052,1221,1409,1658,1722,1758,1599,1712,1630,1772,1832,1918,1925,1949,1885,1728,1805,1523,1528,1617,1450,1389,1510,1406,1720,1481,1256,1235,1196,1111,1123,868,910,772,669,706,669,720,632,486,503,488,583,489,427,393,313,282,262,214,207,145,118,103,60,46,48,38,19,21,9,7,12,16
화도읍,66473,66473,287,299,352,374,455,476,566,538,580,652,707,687,666,686,737,699,686,674,701,690,732,812,857,768,860,836,854,771,751,728,713,676,602,599,639,623,710,742,855,996,1121,1204,1221,1066,1087,1149,1238,1244,1396,1405,1404,1375,1299,1283,1204,1041,1175,1120,932,1121,1008,1092,1026,934,898,858,762,844,647,654,525,487,501,582,525,503,376,374,373,432,408,323,262,252,187,175,145,121,117,82,71,46,52,34,24,15,11,10,4,5,7
화도읍동부출장소,14677,14677,79,116,146,141,154,166,182,173,145,178,193,161,132,139,188,138,114,120,119,116,121,152,146,151,139,142,157,137,178,154,185,158,166,178,191,182,212,214,211,305,321,290,301,242,250,214,231,245,266,266,253,261,224,235,223,203,239,231,206,257,241,272,234,219,185,184,180,172,160,157,119,109,70,78,94,106,60,72,58,65,70,54,52,47,39,38,33,24,24,28,24,11,26,15,4,5,3,2,1,3,2
화도읍남부출장소,36992,36992,171,230,250,292,331,342,404,405,421,433,477,450,420,463,453,424,398,430,463,405,458,430,398,408,423,370,389,345,362,425,364,346,347,364,396,378,425,448,578,639,719,747,740,691,682,657,706,693,751,751,735,758,677,712,615,562,578,542,486,584,552,520,516,462,471,419,330,409,312,314,252,220,234,267,255,245,176,194,165,194,224,131,139,100,77,101,88,65,40,50,24,35,21,14,13,4,1,3,6,3,5
진건읍,23084,23084,51,55,58,90,87,82,98,98,117,123,144,153,157,146,188,168,174,167,192,189,259,260,307,264,303,325,332,307,310,313,300,271,232,205,209,215,215,198,193,213,233,287,289,259,284,266,287,347,361,382,423,445,433,506,482,469,532,501,481,624,536,569,520,472,451,390,361,377,303,314,247,207,225,213,216,210,156,161,152,181,176,140,135,133,112,83,68,70,60,38,37,24,20,17,16,10,10,4,3,3,5
오남읍,52927,52927,181,254,252,272,307,365,407,417,451,506,571,580,570,616,657,649,644,660,680,662,714,742,722,666,706,692,624,656,600,570,551,509,460,436,446,505,457,494,612,698,808,850,867,812,881,927,1030,1084,1138,1168,1253,1235,1104,1130,974,891,981,880,815,867,783,795,767,674,611,567,541,562,444,464,385,333,388,389,404,383,302,317,279,302,312,241,248,222,182,152,129,107,95,62,51,32,42,32,19,17,12,7,6,6,7
퇴계원읍,28612,28612,105,118,126,130,136,158,172,177,186,197,231,218,202,248,271,208,261,223,270,297,302,366,388,368,378,387,377,413,385,389,369,345,322,323,266,300,319,255,306,363,369,401,381,378,362,352,362,447,480,476,505,515,533,568,524,526,579,568,526,619,584,648,609,538,517,482,413,438,303,335,240,270,284,231,229,244,170,199,189,173,185,147,137,118,111,93,89,80,47,49,38,22,15,21,13,7,5,2,1,4,6
별내면,19306,19306,55,69,73,81,105,128,120,136,127,162,175,184,163,194,184,183,176,174,197,209,217,282,244,256,243,261,265,207,224,225,198,148,161,163,149,144,144,164,185,256,211,258,287,265,268,293,301,358,377,391,389,398,374,405,369,375,357,360,303,340,334,359,289,331,282,268,293,303,231,221,181,165,159,220,195,174,130,139,140,178,172,129,108,113,84,92,60,52,31,27,36,20,22,13,14,7,6,3,6,2,7
